(Filename, System, Human) = (n,k,l,observed_overlap, baseline, i-measure, normalized_i-measure))
(D31043.APW19981128.0178, F, G) = (173, 9, 8, 1, 0.4161849710982659, 2.4027777777777777, 0.375)
(D31043.APW19981128.0178, F, D) = (173, 9, 9, 3, 0.4682080924855491, 6.407407407407407, 1.0)
(D31043.APW19981128.0178, F, H) = (173, 9, 8, 2, 0.4161849710982659, 4.805555555555555, 0.75)
(D31043.APW19981128.0178, D, G) = (173, 9, 8, 0, 0.4161849710982659, 0.0, 0.0)
(D31043.APW19981128.0178, D, F) = (173, 9, 9, 3, 0.4682080924855491, 6.407407407407407, 1.0)
(D31043.APW19981128.0178, D, H) = (173, 9, 8, 1, 0.4161849710982659, 2.4027777777777777, 0.375)
(D31043.APW19981128.0178, H, G) = (173, 8, 8, 2, 0.3699421965317919, 5.40625, 0.84375)
(D31043.APW19981128.0178, H, F) = (173, 8, 9, 2, 0.4161849710982659, 4.805555555555555, 0.75)
(D31043.APW19981128.0178, H, D) = (173, 8, 9, 1, 0.4161849710982659, 2.4027777777777777, 0.375)
(D30034.APW19981221.0448, G, F) = (224, 12, 9, 3, 0.48214285714285715, 6.222222222222222, 0.75)
(D30034.APW19981221.0448, G, D) = (224, 12, 10, 3, 0.5357142857142857, 5.6000000000000005, 0.6750000000000002)
(D30034.APW19981221.0448, G, A) = (224, 12, 9, 3, 0.48214285714285715, 6.222222222222222, 0.75)
(D30034.APW19981221.0448, F, G) = (224, 9, 12, 3, 0.48214285714285715, 6.222222222222222, 0.75)
(D30034.APW19981221.0448, F, D) = (224, 9, 10, 3, 0.4017857142857143, 7.466666666666667, 0.9)
(D30034.APW19981221.0448, F, A) = (224, 9, 9, 3, 0.36160714285714285, 8.296296296296296, 1.0)
(D30034.APW19981221.0448, D, G) = (224, 10, 12, 3, 0.5357142857142857, 5.6000000000000005, 0.6750000000000002)
(D30034.APW19981221.0448, D, F) = (224, 10, 9, 3, 0.4017857142857143, 7.466666666666667, 0.9)
(D30034.APW19981221.0448, D, A) = (224, 10, 9, 2, 0.4017857142857143, 4.977777777777778, 0.6000000000000001)
(D30034.APW19981221.0448, A, G) = (224, 9, 12, 3, 0.48214285714285715, 6.222222222222222, 0.75)
(D30034.APW19981221.0448, A, F) = (224, 9, 9, 3, 0.36160714285714285, 8.296296296296296, 1.0)
(D30034.APW19981221.0448, A, D) = (224, 9, 10, 2, 0.4017857142857143, 4.977777777777778, 0.6000000000000001)
(D31013.NYT19981110.0442, C, G) = (126, 9, 8, 3, 0.5714285714285714, 5.25, 0.8888888888888888)
(D31013.NYT19981110.0442, C, D) = (126, 9, 9, 3, 0.6428571428571429, 4.666666666666666, 0.7901234567901233)
(D31013.NYT19981110.0442, C, H) = (126, 9, 8, 2, 0.5714285714285714, 3.5, 0.5925925925925926)
(D31013.NYT19981110.0442, G, C) = (126, 8, 9, 3, 0.5714285714285714, 5.25, 0.8888888888888888)
(D31013.NYT19981110.0442, G, D) = (126, 8, 9, 3, 0.5714285714285714, 5.25, 0.8888888888888888)
(D31013.NYT19981110.0442, G, H) = (126, 8, 8, 3, 0.5079365079365079, 5.90625, 1.0)
(D31013.NYT19981110.0442, D, C) = (126, 9, 9, 3, 0.6428571428571429, 4.666666666666666, 0.7901234567901233)
(D31013.NYT19981110.0442, D, G) = (126, 9, 8, 3, 0.5714285714285714, 5.25, 0.8888888888888888)
(D31013.NYT19981110.0442, D, H) = (126, 9, 8, 1, 0.5714285714285714, 1.75, 0.2962962962962963)
(D31013.NYT19981110.0442, H, C) = (126, 8, 9, 2, 0.5714285714285714, 3.5, 0.5925925925925926)
(D31013.NYT19981110.0442, H, G) = (126, 8, 8, 3, 0.5079365079365079, 5.90625, 1.0)
(D31013.NYT19981110.0442, H, D) = (126, 8, 9, 1, 0.5714285714285714, 1.75, 0.2962962962962963)
(D30044.APW19981115.0371, C, G) = (184, 7, 10, 1, 0.3804347826086957, 2.6285714285714286, 0.16)
(D30044.APW19981115.0371, C, B) = (184, 7, 8, 5, 0.30434782608695654, 16.428571428571427, 1.0)
(D30044.APW19981115.0371, C, D) = (184, 7, 8, 0, 0.30434782608695654, 0.0, 0.0)
(D30044.APW19981115.0371, G, C) = (184, 10, 7, 1, 0.3804347826086957, 2.6285714285714286, 0.16)
